date, Aedes sp., Anopheles coustani, Anopheles funestus, Anopheles gambiae s.l., Anopheles maculipalpis, Anopheles pharoensis, Anopheles rufipes, Anopheles squamosus, Anopheles wellcomei, Anopheles ziemanni, Coquilettidia sp., Culex sp., Mansonia sp., NA, Taxon_TX
17/03/2021, 0, 8, 153, 263, 0, 0, 0, 0, 0, 0, 0, 133, 42, 0, 0
18/03/2021, 0, 0, 3, 36, 0, 0, 0, 0, 0, 0, 0, 52, 7, 0, 0
19/03/2021, 2, 2, 11, 116, 0, 3, 0, 0, 0, 0, 0, 665, 0, 0, 0
24/03/2021, 2, 6, 37, 247, 0, 0, 0, 0, 3, 0, 1, 75, 260, 0, 0
25/03/2021, 1, 0, 9, 31, 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 0
26/03/2021, 1, 0, 6, 82, 0, 0, 0, 0, 0, 0, 0, 510, 0, 0, 0
07/04/2021, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
08/04/2021, 0, 3, 1, 26, 0, 0, 0, 1, 0, 0, 0, 120, 0, 0, 0
09/04/2021, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
13/04/2021, 0, 37, 67, 459, 0, 0, 0, 2, 0, 0, 9, 170, 59, 0, 0
14/04/2021, 0, 2, 9, 15, 0, 0, 0, 0, 0, 0, 0, 109, 6, 0, 0
15/04/2021, 0, 51, 11, 375, 0, 12, 0, 0, 0, 0, 0, 738, 34, 0, 0
19/04/2021, 2, 11, 35, 428, 0, 0, 0, 0, 0, 0, 0, 88, 26, 0, 0
20/04/2021, 0, 0, 20, 114, 0, 0, 0, 0, 0, 0, 0, 368, 6, 0, 0
21/04/2021, 2, 49, 5, 353, 0, 26, 0, 8, 0, 0, 0, 1273, 19, 0, 0
26/04/2021, 1, 1, 101, 227, 0, 0, 0, 0, 0, 0, 0, 17, 13, 0, 0
27/04/2021, 4, 1, 7, 32, 0, 0, 0, 0, 0, 0, 0, 326, 0, 0, 0
28/04/2021, 0, 22, 8, 249, 0, 17, 0, 29, 0, 0, 0, 1331, 0, 0, 0
03/05/2021, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
04/05/2021, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
05/05/2021, 0, 34, 10, 325, 0, 26, 0, 13, 0, 0, 0, 1205, 11, 0, 0
10/05/2021, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11/05/2021, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12/05/2021, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17/05/2021, 0, 10, 134, 79, 0, 0, 0, 0, 0, 0, 3, 80, 71, 0, 0
18/05/2021, 0, 0, 12, 25, 0, 0, 0, 0, 0, 0, 0, 742, 0, 0, 0
19/05/2021, 0, 2, 5, 20, 0, 3, 0, 2, 0, 0, 0, 675, 0, 0, 0
24/05/2021, 0, 1, 96, 77, 0, 0, 0, 0, 0, 0, 2, 26, 24, 0, 0
25/05/2021, 1, 0, 3, 22, 0, 0, 0, 0, 0, 0, 0, 463, 0, 0, 0
26/05/2021, 0, 9, 2, 21, 1, 0, 0, 0, 0, 0, 0, 1066, 0, 0, 0
31/05/2021, 0, 2, 140, 54, 0, 0, 0, 1, 0, 0, 0, 22, 23, 0, 0
01/06/2021, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
02/06/2021, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
07/06/2021, 0, 0, 7, 18, 0, 0, 0, 0, 0, 0, 0, 129, 0, 0, 0
08/06/2021, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
09/06/2021, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
